dataset,experiment,i,j,model,source,value
CIFAR,cnnwithnal_CIFAR,0,0,cnnwithnal,cnnwithnal_CIFAR_pred_results.pkl,0.43629999999999997
CIFAR,cnnwithnal_CIFAR,0,1,cnnwithnal,cnnwithnal_CIFAR_pred_results.pkl,0.35400000000000004
CIFAR,cnnwithnal_CIFAR,0,2,cnnwithnal,cnnwithnal_CIFAR_pred_results.pkl,0.2097
CIFAR,cnnwithnal_CIFAR,1,0,cnnwithnal,cnnwithnal_CIFAR_pred_results.pkl,0.26680000000000004
CIFAR,cnnwithnal_CIFAR,1,1,cnnwithnal,cnnwithnal_CIFAR_pred_results.pkl,0.45010000000000006
CIFAR,cnnwithnal_CIFAR,1,2,cnnwithnal,cnnwithnal_CIFAR_pred_results.pkl,0.2831
CIFAR,cnnwithnal_CIFAR,2,0,cnnwithnal,cnnwithnal_CIFAR_pred_results.pkl,0.40869999999999995
CIFAR,cnnwithnal_CIFAR,2,1,cnnwithnal,cnnwithnal_CIFAR_pred_results.pkl,0.2563
CIFAR,cnnwithnal_CIFAR,2,2,cnnwithnal,cnnwithnal_CIFAR_pred_results.pkl,0.335
FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0,0,cnnwithnal,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.7209000000000001
FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0,1,cnnwithnal,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.27069999999999994
FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0,2,cnnwithnal,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.008400000000000001
FashionMNIST0.3,cnnwithnal_fashionmnist0.3,1,0,cnnwithnal,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.0016
FashionMNIST0.3,cnnwithnal_fashionmnist0.3,1,1,cnnwithnal,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.7113
FashionMNIST0.3,cnnwithnal_fashionmnist0.3,1,2,cnnwithnal,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.28709999999999997
