accuracy,dataset,experiment,macro_f1,model,run,source,weighted_f1
0.3943333333333333,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,0,cnnwithnal_CIFAR_acc_results.pkl,nan
0.363,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,1,cnnwithnal_CIFAR_acc_results.pkl,nan
0.41433333333333333,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,2,cnnwithnal_CIFAR_acc_results.pkl,nan
0.386,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,3,cnnwithnal_CIFAR_acc_results.pkl,nan
0.4106666666666667,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,4,cnnwithnal_CIFAR_acc_results.pkl,nan
0.43633333333333335,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,5,cnnwithnal_CIFAR_acc_results.pkl,nan
0.3923333333333333,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,6,cnnwithnal_CIFAR_acc_results.pkl,nan
0.39,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,7,cnnwithnal_CIFAR_acc_results.pkl,nan
0.373,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,8,cnnwithnal_CIFAR_acc_results.pkl,nan
0.5113333333333333,CIFAR,cnnwithnal_CIFAR,nan,cnnwithnal,9,cnnwithnal_CIFAR_acc_results.pkl,nan
0.6583333333333333,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,0,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.6866666666666666,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,1,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.7023333333333334,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,2,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.6613333333333333,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,3,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.69,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,4,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.626,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,5,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.8306666666666667,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,6,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.697,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,7,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.8133333333333334,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,8,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.6553333333333333,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,nan,cnnwithnal,9,cnnwithnal_fashionmnist0.3_acc_results.pkl,nan
0.379,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,0,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.42033333333333334,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,1,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.927,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,2,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.772,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,3,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.6193333333333333,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,4,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.7683333333333333,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,5,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.837,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,6,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.6143333333333333,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,7,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.697,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,8,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.9106666666666666,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,nan,cnnwithnal,9,cnnwithnal_fashionmnist0.6_acc_results.pkl,nan
0.42766666666666664,CIFAR,cnn_CIFAR,nan,cnn,0,cnn_CIFAR_acc_results.pkl,nan
0.3863333333333333,CIFAR,cnn_CIFAR,nan,cnn,1,cnn_CIFAR_acc_results.pkl,nan
0.389,CIFAR,cnn_CIFAR,nan,cnn,2,cnn_CIFAR_acc_results.pkl,nan
0.41633333333333333,CIFAR,cnn_CIFAR,nan,cnn,3,cnn_CIFAR_acc_results.pkl,nan
0.3883333333333333,CIFAR,cnn_CIFAR,nan,cnn,4,cnn_CIFAR_acc_results.pkl,nan
0.44033333333333335,CIFAR,cnn_CIFAR,nan,cnn,5,cnn_CIFAR_acc_results.pkl,nan
0.4196666666666667,CIFAR,cnn_CIFAR,nan,cnn,6,cnn_CIFAR_acc_results.pkl,nan
0.4096666666666667,CIFAR,cnn_CIFAR,nan,cnn,7,cnn_CIFAR_acc_results.pkl,nan
0.39466666666666667,CIFAR,cnn_CIFAR,nan,cnn,8,cnn_CIFAR_acc_results.pkl,nan
0.4656666666666667,CIFAR,cnn_CIFAR,nan,cnn,9,cnn_CIFAR_acc_results.pkl,nan
0.9943333333333333,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,0,cnn_fashionmnist0.3_acc_results.pkl,nan
0.995,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,1,cnn_fashionmnist0.3_acc_results.pkl,nan
0.993,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,2,cnn_fashionmnist0.3_acc_results.pkl,nan
0.9916666666666667,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,3,cnn_fashionmnist0.3_acc_results.pkl,nan
0.994,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,4,cnn_fashionmnist0.3_acc_results.pkl,nan
0.993,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,5,cnn_fashionmnist0.3_acc_results.pkl,nan
0.9943333333333333,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,6,cnn_fashionmnist0.3_acc_results.pkl,nan
0.993,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,7,cnn_fashionmnist0.3_acc_results.pkl,nan
0.995,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,8,cnn_fashionmnist0.3_acc_results.pkl,nan
0.997,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,9,cnn_fashionmnist0.3_acc_results.pkl,nan
0.939,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,0,cnn_fashionmnist0.6_acc_results.pkl,nan
0.9293333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,1,cnn_fashionmnist0.6_acc_results.pkl,nan
0.9223333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,2,cnn_fashionmnist0.6_acc_results.pkl,nan
0.8006666666666666,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,3,cnn_fashionmnist0.6_acc_results.pkl,nan
0.8053333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,4,cnn_fashionmnist0.6_acc_results.pkl,nan
0.863,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,5,cnn_fashionmnist0.6_acc_results.pkl,nan
0.86,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,6,cnn_fashionmnist0.6_acc_results.pkl,nan
0.8523333333333334,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,7,cnn_fashionmnist0.6_acc_results.pkl,nan
