class,dataset,experiment,f1_mean,f1_std,model,precision_mean,precision_std,recall_mean,recall_std,source
0,CIFAR,cnnwithnal_CIFAR,0.41052351219574285,0.0426677131000814,cnnwithnal,0.39415897291518404,0.030301227095537227,0.4363,0.07793465211316467,cnnwithnal_CIFAR_pred_results.pkl
1,CIFAR,cnnwithnal_CIFAR,0.42799429779611275,0.08003838790982665,cnnwithnal,0.42271005124663563,0.04290307372120636,0.45010000000000006,0.13237707505455767,cnnwithnal_CIFAR_pred_results.pkl
2,CIFAR,cnnwithnal_CIFAR,0.3630226991948022,0.06226597680537535,cnnwithnal,0.40992575418391686,0.06189186128544863,0.335,0.07977342916034136,cnnwithnal_CIFAR_pred_results.pkl
0,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.7065930831131604,0.08270248532599676,cnnwithnal,0.701340183329572,0.09238073069553966,0.7209,0.09982830260001417,cnnwithnal_fashionmnist0.3_pred_results.pkl
1,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.7150281499934149,0.06512069008427823,cnnwithnal,0.7245635189446509,0.07811165223425708,0.7113,0.07859013933058015,cnnwithnal_fashionmnist0.3_pred_results.pkl
2,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.6762823285680508,0.10869895858576677,cnnwithnal,0.6923488473619563,0.06163046882556466,0.6741,0.14799016859237643,cnnwithnal_fashionmnist0.3_pred_results.pkl
0,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.723201929213251,0.2708843683628108,cnnwithnal,0.7616453776499674,0.3072835130846131,0.7395,0.2865617734450986,cnnwithnal_fashionmnist0.6_pred_results.pkl
1,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.5639923632647565,0.40643252744193736,cnnwithnal,0.6459726737499385,0.4286480832791705,0.5492999999999999,0.43136111322185733,cnnwithnal_fashionmnist0.6_pred_results.pkl
2,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.6587770270218773,0.17613185309002743,cnnwithnal,0.6639933330395412,0.19785804697157477,0.7947,0.24391803951327587,cnnwithnal_fashionmnist0.6_pred_results.pkl
0,CIFAR,cnn_CIFAR,0.40157779381733655,0.03269806048781071,cnn,0.41126206707873836,0.026156548308084934,0.39899999999999997,0.06165549448346026,cnn_CIFAR_pred_results.pkl
1,CIFAR,cnn_CIFAR,0.40865297014079804,0.05634987921296134,cnn,0.43131963219549646,0.04005324989935848,0.39649999999999996,0.09243835783915678,cnn_CIFAR_pred_results.pkl
2,CIFAR,cnn_CIFAR,0.4159881296037572,0.06671170580946666,cnn,0.4032018703234909,0.03236553415365563,0.4457999999999999,0.1220145892916089,cnn_CIFAR_pred_results.pkl
0,FashionMNIST0.3,cnn_fashionmnist0.3,0.9915018017916368,0.001954289732690071,cnn,0.9912139941363046,0.002718046365266459,0.9917999999999999,0.0032186953878862194,cnn_fashionmnist0.3_pred_results.pkl
1,FashionMNIST0.3,cnn_fashionmnist0.3,0.9995500244628053,0.0005676699150435148,cnn,0.9996008973080759,0.0009139700457137606,0.9995,0.0008062257748298557,cnn_fashionmnist0.3_pred_results.pkl
2,FashionMNIST0.3,cnn_fashionmnist0.3,0.9910481655205856,0.002098789185725202,cnn,0.9913084966649635,0.0033391805214718073,0.9908000000000001,0.003091924966748064,cnn_fashionmnist0.3_pred_results.pkl
0,FashionMNIST0.6,cnn_fashionmnist0.6,0.867331501541547,0.06145366405212755,cnn,0.913099291028009,0.0324807828174571,0.8297000000000001,0.09053734036296848,cnn_fashionmnist0.6_pred_results.pkl
1,FashionMNIST0.6,cnn_fashionmnist0.6,0.9037009436070929,0.056479853669427094,cnn,0.8631452470766453,0.0776926295258555,0.9616,0.09597207927308858,cnn_fashionmnist0.6_pred_results.pkl
2,FashionMNIST0.6,cnn_fashionmnist0.6,0.8195161050644048,0.06733834264540257,cnn,0.8443999607472179,0.09010001098090258,0.8051,0.08853072912836535,cnn_fashionmnist0.6_pred_results.pkl
